date,equity
2023-03-30,474518789.0
2023-03-31,476485069.0
2023-04-03,477550566.0
2023-04-04,477961324.0
2023-04-05,478405781.0
2023-04-06,478503516.0
2023-04-07,477053977.0
2023-04-10,476521670.0
2023-04-11,475566794.0
2023-04-12,476602715.0
2023-04-13,477606756.0
2023-04-14,474629812.0
2023-04-17,476027484.0
2023-04-18,474990468.0
2023-04-19,471185827.0
2023-04-20,471699088.0
2023-04-21,468768304.0
2023-04-24,468776868.0
2023-04-25,466403984.0
2023-04-26,469547646.0
2023-04-27,469621312.0
2023-04-28,470758179.0
2023-05-04,471330564.0
2023-05-05,470849913.0
2023-05-08,475329327.0
2023-05-09,476613092.0
2023-05-10,477225809.0
2023-05-11,476663916.0
2023-05-12,477588573.0
2023-05-15,477694596.0
2023-05-16,478827125.0
2023-05-17,476469287.0
2023-05-18,476469261.0
2023-05-19,476291526.0
2023-05-22,477665085.0
2023-05-23,476963937.0
2023-05-24,474863241.0
2023-05-25,474971815.0
2023-05-26,475082384.0
2023-05-29,476081775.0
2023-05-30,475707411.0
2023-05-31,477339431.0
2023-06-01,478721946.0
2023-06-02,482711979.0
2023-06-05,484964636.0
2023-06-06,487027764.0
2023-06-07,485293037.0
2023-06-08,481218620.0
2023-06-09,481727803.0
2023-06-12,482529366.0
2023-06-13,484726866.0
2023-06-14,483847192.0
2023-06-15,483420095.0
2023-06-16,485339409.0
2023-06-19,482912402.0
2023-06-20,484503789.0
2023-06-21,484955830.0
2023-06-22,486795142.0
2023-06-23,488196568.0
2023-06-26,489608888.0
2023-06-27,488555066.0
2023-06-28,492579590.0
2023-06-29,486976572.0
2023-06-30,484172178.0
2023-07-03,485564845.0
2023-07-04,484939301.0
2023-07-05,485718184.0
2023-07-06,481934303.0
2023-07-07,482549114.0
2023-07-10,488418596.0
2023-07-11,488520012.0
2023-07-12,488925788.0
2023-07-13,490565161.0
2023-07-14,490812294.0
2023-07-17,489634856.0
2023-07-18,491137660.0
2023-07-19,491503364.0
2023-07-20,491253764.0
2023-07-21,492971351.0
2023-07-24,493148594.0
2023-07-25,495741721.0
2023-07-26,499533353.0
2023-07-27,497302781.0
2023-07-28,498966203.0
2023-07-31,500908833.0
2023-08-01,500530744.0
2023-08-02,502278622.0
2023-08-03,499675435.0
2023-08-04,499963113.0
2023-08-07,502947766.0
2023-08-08,503684195.0
2023-08-09,501834689.0
2023-08-10,497598050.0
2023-08-11,497313775.0
2023-08-14,496906302.0
2023-08-15,497028316.0
2023-08-16,497526096.0
2023-08-17,497410896.0
2023-08-18,488876526.0
2023-08-21,488343172.0
2023-08-22,486497365.0
2023-08-23,483329806.0
2023-08-24,487292405.0
2023-08-25,486324382.0
2023-08-28,488991463.0
2023-08-29,487314678.0
2023-08-30,488006452.0
2023-08-31,490079126.0
2023-09-05,491468123.0
2023-09-06,494478856.0
2023-09-07,494811260.0
2023-09-08,494476757.0
2023-09-11,489460683.0
2023-09-12,499744666.0
2023-09-13,498865065.0
2023-09-14,496632149.0
2023-09-15,499910427.0
2023-09-18,495985308.0
2023-09-19,496951131.0
2023-09-20,500512318.0
2023-09-21,493417979.0
2023-09-22,488333839.0
2023-09-25,479869609.0
2023-09-26,477943496.0
2023-09-27,477569870.0
2023-09-28,477392690.0
2023-09-29,477268785.0
2023-10-02,476028980.0
2023-10-03,475626033.0
2023-10-04,475626033.0
2023-10-05,475200894.0
2023-10-06,475626033.0
2023-10-09,475484321.0
2023-10-10,476476310.0
2023-10-11,477043156.0
2023-10-12,476759729.0
2023-10-13,477043156.0
2023-10-16,473024922.0
2023-10-17,466805350.0
2023-10-18,466965731.0
2023-10-19,467419795.0
2023-10-20,468128361.0
2023-10-23,467419795.0
2023-10-24,467561511.0
2023-10-25,467419795.0
2023-10-26,466002672.0
2023-10-27,466711238.0
2023-10-30,466569526.0
2023-10-31,466569526.0
2023-11-01,466711238.0
2023-11-02,467703222.0
2023-11-03,469828912.0
2023-11-06,469545489.0
2023-11-07,468836923.0
2023-11-08,470114908.0
2023-11-09,469139541.0
2023-11-10,469634031.0
2023-11-13,470348366.0
2023-11-14,470101117.0
2023-11-15,470986355.0
2023-11-16,473939726.0
2023-11-17,471041545.0
2023-11-20,471680745.0
2023-11-21,470852942.0
2023-11-22,471160479.0
2023-11-23,463155687.0
2023-11-24,465595502.0
2023-11-27,463155687.0
2023-11-28,464303838.0
2023-11-29,465164947.0
2023-11-30,464877913.0
2023-12-01,464303838.0
2023-12-04,468178838.0
2023-12-05,466044157.0
2023-12-06,469165710.0
2023-12-07,467030811.0
2023-12-08,467951846.0
2023-12-11,464803067.0
2023-12-12,464598410.0
2023-12-13,459156036.0
2023-12-14,458279977.0
2023-12-15,457703493.0
2023-12-18,454101234.0
2023-12-19,456547942.0
2023-12-20,455304105.0
2023-12-21,456288876.0
2023-12-22,458107754.0
2023-12-25,462184256.0
2023-12-26,462837815.0
2023-12-27,462526859.0
2023-12-28,463171337.0
2023-12-29,467051473.0
2024-01-02,464320222.0
2024-01-03,467319314.0
2024-01-04,469557814.0
2024-01-05,471268210.0
2024-01-08,475435855.0
2024-01-09,475445006.0
2024-01-10,477297875.0
2024-01-11,475823739.0
2024-01-12,474822150.0
2024-01-15,473562072.0
2024-01-16,476643133.0
2024-01-17,475753624.0
2024-01-18,478281805.0
2024-01-19,479162135.0
2024-01-22,481157854.0
2024-01-23,479363189.0
2024-01-24,477094185.0
2024-01-25,477011742.0
2024-01-26,481152657.0
2024-01-29,478573433.0
2024-01-30,479587655.0
2024-01-31,476273951.0
2024-02-01,478867571.0
2024-02-02,482477310.0
2024-02-05,487966553.0
2024-02-06,488199209.0
2024-02-07,490545024.0
2024-02-15,491590815.0
2024-02-16,491631107.0
2024-02-19,490550220.0
2024-02-20,491287397.0
2024-02-21,492891189.0
2024-02-22,491764951.0
2024-02-23,484758985.0
2024-02-26,487222508.0
2024-02-27,489465018.0
2024-02-28,492184971.0
2024-02-29,493460535.0
2024-03-01,493636822.0
2024-03-04,493996397.0
2024-03-05,493399938.0
2024-03-06,489433984.0
2024-03-07,491100386.0
2024-03-08,483823341.0
2024-03-11,479751800.0
2024-03-12,480015876.0
2024-03-13,486679734.0
2024-03-14,485414097.0
2024-03-15,488085678.0
2024-03-18,487032101.0
2024-03-19,483878477.0
2024-03-20,490933388.0
2024-03-21,498702473.0
2024-03-22,500068974.0
2024-03-25,499638016.0
2024-03-26,503148193.0
2024-03-27,502908949.0
2024-03-28,507862943.0
2024-03-29,506704848.0
2024-04-01,506808302.0
2024-04-02,508176155.0
2024-04-03,503447482.0
2024-04-04,500466048.0
2024-04-05,497052194.0
2024-04-08,495724480.0
2024-04-09,498192362.0
2024-04-10,495896637.0
2024-04-11,495750626.0
2024-04-12,500135355.0
2024-04-15,486407207.0
2024-04-16,488191110.0
2024-04-17,486920992.0
2024-04-19,485452532.0
2024-04-22,486288715.0
2024-04-23,487506185.0
2024-04-24,488531417.0
2024-04-25,487442102.0
2024-04-26,487948318.0
2024-05-02,490956907.0
2024-05-03,491769080.0
2024-05-06,493075929.0
2024-05-07,494925188.0
2024-05-08,494515988.0
2024-05-09,493243723.0
2024-05-10,493766746.0
2024-05-13,491500624.0
2024-05-14,491384368.0
2024-05-15,494001075.0
2024-05-16,497622279.0
2024-05-17,497249845.0
2024-05-20,499093467.0
2024-05-21,500467201.0
2024-05-22,497363741.0
2024-05-23,501884650.0
2024-05-24,501408309.0
2024-05-27,500573928.0
2024-05-28,504040241.0
2024-05-29,499359739.0
2024-05-30,498265014.0
2024-05-31,499043408.0
2024-06-03,501361067.0
2024-06-04,502759621.0
2024-06-05,502342022.0
2024-06-06,502644216.0
2024-06-07,505103664.0
2024-06-10,505007109.0
2024-06-11,505169893.0
2024-06-12,507654193.0
2024-06-13,507922793.0
2024-06-14,503796523.0
2024-06-17,504769185.0
2024-06-18,508539109.0
2024-06-19,506964777.0
2024-06-20,509370706.0
2024-06-21,505394857.0
2024-06-24,503512739.0
2024-06-25,502586667.0
2024-06-26,503763302.0
2024-06-27,500679977.0
2024-06-28,497719900.0
2024-07-01,495841100.0
2024-07-02,496261585.0
2024-07-03,499712093.0
2024-07-04,499865693.0
2024-07-05,500149889.0
2024-07-08,502543738.0
2024-07-09,505679740.0
2024-07-10,502599007.0
2024-07-11,503170553.0
2024-07-12,504185744.0
2024-07-15,504419973.0
2024-07-16,504711958.0
2024-07-17,500211177.0
2024-07-18,500903136.0
2024-07-19,498784086.0
2024-07-22,498928981.0
2024-07-23,488325929.0
2024-07-24,488297006.0
2024-07-25,488717219.0
2024-07-26,489610436.0
2024-07-29,489524571.0
2024-07-30,490528411.0
2024-07-31,492684638.0
2024-08-01,484654114.0
2024-08-02,486356255.0
2024-08-05,480995762.0
2024-08-06,484455162.0
2024-08-07,485330918.0
2024-08-08,484692908.0
2024-08-09,485962479.0
2024-08-12,486609688.0
2024-08-13,486902709.0
2024-08-14,487706679.0
2024-08-15,486744583.0
2024-08-16,494074663.0
2024-08-19,497012926.0
2024-08-20,495752094.0
2024-08-21,496270115.0
2024-08-22,495532973.0
2024-08-23,496136926.0
2024-08-26,494121360.0
2024-08-27,493524649.0
2024-08-28,494685226.0
2024-08-29,493886855.0
2024-08-30,495109759.0
2024-09-04,491290105.0
2024-09-05,488507435.0
2024-09-06,489874720.0
2024-09-09,489092151.0
2024-09-10,486968089.0
2024-09-11,487069877.0
2024-09-12,486707632.0
2024-09-13,485307224.0
2024-09-16,480628083.0
2024-09-17,485260951.0
2024-09-18,487790781.0
2024-09-19,489150388.0
2024-09-20,488712898.0
2024-09-23,487756644.0
2024-09-24,489902221.0
2024-09-25,490796863.0
2024-09-26,494011788.0
2024-09-27,492650543.0
2024-09-30,491759383.0
2024-10-01,491035893.0
2024-10-02,488847381.0
2024-10-03,486070468.0
2024-10-04,485101160.0
2024-10-07,483142847.0
2024-10-08,482487581.0
2024-10-09,482453570.0
2024-10-10,482502283.0
2024-10-11,482425580.0
2024-10-14,481001997.0
2024-10-15,480577869.0
2024-10-16,479480666.0
2024-10-17,480534440.0
2024-10-18,482259220.0
2024-10-21,483302313.0
2024-10-22,482040467.0
2024-10-23,481449500.0
2024-10-24,473981834.0
2024-10-25,473698086.0
2024-10-28,473159602.0
2024-10-29,475471937.0
2024-10-30,474953617.0
2024-10-31,477347907.0
2024-11-01,475655519.0
2024-11-04,473894769.0
2024-11-05,472704714.0
2024-11-06,475634097.0
2024-11-07,475006612.0
2024-11-08,473995608.0
2024-11-11,470828100.0
2024-11-12,467651307.0
2024-11-13,464457852.0
2024-11-14,462678517.0
2024-11-15,462397025.0
2024-11-18,462397025.0
2024-11-19,462397025.0
2024-11-20,462397025.0
2024-11-21,462397025.0
2024-11-22,462397025.0
2024-11-25,462397025.0
2024-11-26,462397025.0
2024-11-27,462397025.0
2024-11-28,462190784.0
2024-11-29,465090584.0
2024-12-02,464523862.0
2024-12-03,464890540.0
2024-12-04,464394144.0
2024-12-05,467775326.0
2024-12-06,467173739.0
2024-12-09,468418283.0
2024-12-10,468767996.0
